Species;Family;Species_sum;nb_fish_per_family;Family_PCT_total_fish;Sp_PCT
Abudefduf saxatilis;POMACENTRIDAE;45323.61;800655.81;0.18796489;0.010640337
Acanthostracion quadricornis;OSTRACIIDAE;574.332;1894.996;0.000444876;0.000134832
Acanthostracion polygonius;OSTRACIIDAE;0;1894.996;0.000444876;0
Acanthurus bahianus;ACANTHURIDAE;82225.056;192204.89;0.045122724;0.019303455
Acanthurus chirurgus;ACANTHURIDAE;46030.666;192204.89;0.045122724;0.010806328
Acanthurus coeruleus;ACANTHURIDAE;63949.168;192204.89;0.045122724;0.015012941
Aluterus scriptus;MONACANTHIDAE;2167.086;3333.084;0.000782487;0.000508753
Anisotremus surinamensis;HAEMULIDAE;1272.332;533892.416;0.125338539;0.000298697
Anisotremus virginicus;HAEMULIDAE;26348.368;533892.416;0.125338539;0.006185639
Aulostomus maculatus;AULOSTOMIDAE;1757.034;1757.034;0.000412488;0.000412488
Balistes capriscus;BALISTIDAE;7161.996;7161.996;0.001681376;0.001681376
Bodianus rufus;LABRIDAE;7068.772;1286610.762;0.302049454;0.001659491
Calamus calamus;SPARIDAE;15139.888;15935.888;0.003741167;0.003554296
Calamus penna;SPARIDAE;796;15935.888;0.003741167;0.000186872
Cantherhines pullus;MONACANTHIDAE;613.332;3333.084;0.000782487;0.000143988
Canthigaster rostrata;TETRAODONTIDAE;25855.33;26493.83;0.006219789;0.006069892
Carangoides bartholomaei;CARANGIDAE;4284;80776.804;0.018963458;0.001005728
Caranx crysos;CARANGIDAE;11418.834;80776.804;0.018963458;0.002680727
Caranx ruber;CARANGIDAE;65073.97;80776.804;0.018963458;0.015277003
Cephalopholis cruentata;SERRANIDAE;9293.184;49239.196;0.011559574;0.002181702
Cephalopholis fulva;SERRANIDAE;716.166;49239.196;0.011559574;0.00016813
Chaetodon capistratus;CHAETODONTIDAE;15066.868;41953.678;0.009849199;0.003537153
Chaetodon ocellatus;CHAETODONTIDAE;12003.966;41953.678;0.009849199;0.002818095
Chaetodon sedentarius;CHAETODONTIDAE;12496.344;41953.678;0.009849199;0.002933687
Chaetodon striatus;CHAETODONTIDAE;2386.5;41953.678;0.009849199;0.000560263
Chromis cyanea;POMACENTRIDAE;44351.998;800655.81;0.18796489;0.010412237
Chromis enchrysura;POMACENTRIDAE;3799.33;800655.81;0.18796489;0.000891945
Chromis insolata;POMACENTRIDAE;17098.166;800655.81;0.18796489;0.004014028
Chromis multilineata;POMACENTRIDAE;52554.26;800655.81;0.18796489;0.012337831
Chromis scotti;POMACENTRIDAE;65719.666;800655.81;0.18796489;0.015428589
Clepticus parrae;LABRIDAE;63453.916;1286610.762;0.302049454;0.014896674
Coryphopterus dicrus;GOBIIDAE;2056.666;908657.786;0.213319829;0.00048283
Coryphopterus glaucofraenum;GOBIIDAE;49185.496;908657.786;0.213319829;0.011546967
Coryphopterus personatus;GOBIIDAE;836802.332;908657.786;0.213319829;0.19645078
Cryptotomus roseus;LABRIDAE;7664.332;1286610.762;0.302049454;0.001799307
Diodon holocanthus;DIODONTIDAE;431.666;431.666;0.000101339;0.000101339
Elacatinus oceanops;GOBIIDAE;11698.498;908657.786;0.213319829;0.002746382
Epinephelus adscensionis;SERRANIDAE;614.666;49239.196;0.011559574;0.000144301
Epinephelus morio;SERRANIDAE;3869.664;49239.196;0.011559574;0.000908456
Gnatholepis thompsoni;GOBIIDAE;5255.496;908657.786;0.213319829;0.001233799
Gymnothorax moringa;MURAENIDAE;373;373;0.0000875668;0.0000875668
Haemulon aurolineatum;HAEMULIDAE;226310.31;533892.416;0.125338539;0.053129437
Haemulon carbonarium;HAEMULIDAE;5829.668;533892.416;0.125338539;0.001368594
Haemulon chrysargyreum;HAEMULIDAE;16184;533892.416;0.125338539;0.003799415
