site;Total;Nb_dif_Sp;Margalef_Index
4733520_128U;964;32;144.97
4966028_487U;620;38;93.19
4981032_102U;1068;26;160.63
4999782_141U;528;19;79.34
5026033_475U;740;29;111.25
5067281_105U;2144;45;322.62
5157285_104U;700;37;105.23
5168534_472U;160;22;23.94
5187287_495U;1434;47;215.73
5194788_112U;804;27;120.89
5224799_107U;2824;45;424.98
5224828_478U;1738;34;261.49
5228578_479U;1434;34;215.73
5292294_494U;334;32;50.13
5292333_457U;827;23;124.35
5326047_138U;312;13;46.82
5337297_137U;828;17;124.5
5337315_136U;512;29;76.93
5371071_139U;276;22;41.4
5393570_142U;328;21;49.23
5457301_143U;9438;40;1420.68
5491055_467U;640;27;96.2
5528557_629U;760;35;114.26
5532305_632U;1238;25;186.22
5944836_625U;312;11;46.82
6012341_460U;1470;38;221.15
6586139_427U;1844;40;277.45
6623659_420U;526;39;79.04
7246232_126U;4604;36;692.95
7272491_436U;790;20;118.78
7287493_438U;1216;29;182.91
7324998_430H;310;32;46.52
7332509_108U;448;23;67.29
7366254_123U;2664;40;400.9
7366262_620U;844;21;126.91
7377506_124U;1516;30;228.07
7388764_277U;1256;32;188.93
7452525_424U;1142;35;171.77
7460025_619U;828;23;124.5
7505034_617U;420;25;63.08
7591302_445U;674;20;101.32
7621307_381U;380;38;57.06
7718844_343U;622;30;93.49
7752585_404U;139;23;20.78
7756332_400U;672;34;101.01
7805103_339U;286;16;42.9
7827651_329U;630;34;94.69
7835194_325U;16;6;2.26
7898886_371U;1224;37;184.11
7917655_348U;898;36;135.04
7928891_383U;2300;46;346.1
7951430_361U;460;24;69.1
7966403_384U;2140;46;322.01
7966406_397U;570;44;85.66
7970174_373U;998;40;150.09
8037714_366U;566;32;85.06
8037715_367U;554;32;83.25
8045212_349U;938;31;141.06
8052698_395U;602;44;90.48
8056449_153U;884;29;132.93
8067704_408U;1258;52;189.23
8067708_379U;636;27;95.6
8127732_386U;1286;43;193.45
8146492_320U;2552;53;384.04
8157754_158U;2060;42;309.97
8180274_319U;1026;37;154.31
8187784_315U;1924;51;289.5
8210311_316U;134;13;20.02
8221607_170U;644;29;96.8
8229110_173U;1368;31;205.79
8236591_175U;1396;26;210.01
8251601_164U;1104;42;166.05
2817364_212U;1374;33;206.7
2824865_213U;1626;36;244.63
2832383_200U;3738;43;562.58
2836117_214U;1158;41;174.18
2847364_217U;1192;39;179.3
2851092_245U;2206;48;331.95
2851093_247U;1184;35;178.09
2854843_246U;1774;43;266.91
2858639_199U;766;35;115.17
2862369_220U;1166;42;175.38
2862390_197U;1254;41;188.63
2869890_198U;922;33;138.65
